X,name,Groups,time,during_case,during_index,index_decrease,Strength_flu,Strength_covid,x,y
1,Zhengzhou 3,UC,2022/1/3,16,37,0.580298852,0.259181977,0.101694915,-1.350224849,-2.285777975
1,Zhengzhou 2,UC,2021/11/3,16,27,0.481017675,0.520939906,0.04,-0.652120587,-3.218875825
1,Zhengzhou,UC,2021/7/31,13,38,0.810750405,0.283458041,0.001,-1.260691169,-6.907755279
1,Yangzhou,UC,2021/7/28,29,48,0.800951611,0.29915748,0.816326531,-1.206785154,-0.202940844
1,Xuchang,UC,2022/1/4,15,35,0.888337072,0.140883011,0.052238806,-1.959825442,-2.951929651
1,Xian,OC,2021/12/12,36,47,0.956894762,0.599179262,23.8,-0.512194457,3.169685581
1,Xiamen,UC,2021/9/12,20,37,0.816481587,0.222603511,0.08974359,-1.502363066,-2.410798678
1,Tonghua,OC,2021/1/16,21,32,0.653887367,0.424571166,1.590909091,-0.85667564,0.464305608
1,Shijiazhuang 2,UC,2021/10/31,14,22,0.261129978,0.672375258,0.025,-0.396938675,-3.688879454
1,Shijiazhuang,OC,2021/1/2,29,87,0.923804176,0.319441408,1.968421053,-1.141181409,0.677231725
1,Shaoxing,UC,2021/12/7,20,48,0.63714756,0.439241637,0.017391304,-0.822705591,-4.051784948
1,Putian,UC,2021/9/10,14,38,0.849744184,0.141223822,0.01010101,-1.95740926,-4.59511985
1,Ningbo,UC,2021/12/6,32,28,0.456048434,0.490110029,0.001,-0.713125364,-6.907755279
1,Nanjing,UC,2021/7/20,23,64,0.821505406,0.266897308,0.112676056,-1.320891308,-2.183238335
1,Lanzhou,UC,2021/10/19,20,76,0.750599882,0.176576846,0.428571429,-1.73399911,-0.84729786
1,Haerbing,UC,2021/1/21,15,29,0.345283857,0.642492988,0.046511628,-0.442399376,-3.068052935
1,Dehong 2,UC,2021/7/4,61,92,0.272893143,0.594295987,0.555555556,-0.520377789,-0.587786665
1,Dehong,UC,2021/3/30,21,316,0.693498891,0.325943344,0.05,-1.121031705,-2.995732274
1,Dalian,UC,2021/11/4,23,47,0.805818945,0.232122234,0.279069767,-1.460491176,-1.276293466
1,Anyang,UC,2022/1/8,21,32,0.788727643,0.248283364,0.033333333,-1.393184588,-3.401197382
1,Alashan,UC,2021/10/19,24,#NAME?,0.800517603,0.220517182,0.294117647,-1.511779663,-1.223775432
