,name,Groups,time,during_case,during_index,index_decrease,Strength_flu,Strength_covid,Rt_rate,x,y
1,Lanzhou,UC,2021/10/19,19,76,0.750599882,0.176576846,0.428571429,0.470164206,-1.73399911,0.470164206
2,Xian,UC,2021/12/12,36,47,0.956894762,0.599179262,23.8,0.896656783,-0.512194457,0.896656783
3,Dehong2,UC,2021/7/4,61,92,0.272893143,0.594295987,0.555555556,0.543396249,-0.520377789,0.543396249
4,Dehong1,UC,2021/3/30,21,316,0.693498891,0.325943344,0.05,0.358685301,-1.121031705,0.358685301
5,Xuchang,UC,2022/1/4,15,35,0.888337072,0.140883011,0.052238806,0.061808318,-1.959825442,0.061808318
6,Anyang,UC,2022/1/8,21,32,0.788727643,0.248283364,0.033333333,0.042153984,-1.393184588,0.042153984
7,Zhengzhou3,UC,2022/1/3,16,37,0.580298852,0.259181977,0.101694915,0.073859575,-1.350224849,0.073859575
8,Zhengzhou2,UC,2021/11/3,16,27,0.481017675,0.520939906,0.04,0.062735192,-0.652120587,0.062735192
9,Zhengzhou1,UC,2021/7/31,13,38,0.810750405,0.283458041,0.001,0.661977383,-1.260691169,0.661977383
10,Putian,UC,2021/9/10,14,38,0.849744184,0.141223822,0.01010101,0.032439991,-1.95740926,0.032439991
11,Xiamen,UC,2021/9/12,20,37,0.816481587,0.222603511,0.08974359,0.050059029,-1.502363066,0.050059029
12,Shaoxing,UC,2021/12/7,20,48,0.63714756,0.439241637,0.017391304,0.047267699,-0.822705591,0.047267699
13,Ningbo,UC,2021/12/6,32,28,0.456048434,0.490110029,0.001,0.462621388,-0.713125364,0.462621388
14,Yangzhou,UC,2021/7/28,29,48,0.800951611,0.29915748,0.816326531,0.213498286,-1.206785154,0.213498286
15,Nanjing,UC,2021/7/20,23,64,0.821505406,0.266897308,0.112676056,0.14671781,-1.320891308,0.14671781
16,Haerbing,UC,2021/1/13,23,48,0.738825492,0.433601878,Inf,0.326223068,-0.835628499,0.326223068
17,Tonghua,UC,2021/1/16,21,32,0.653887367,0.424571166,1.590909091,0.205697765,-0.85667564,0.205697765
18,Dalian,UC,2021/11/4,23,47,0.805818945,0.232122234,0.279069767,0.214017941,-1.460491176,0.214017941
19,Alashan,UC,2021/10/19,24,#NAME?,0.800517603,0.220517182,0.294117647,0.205634532,-1.511779663,0.205634532
20,Shijiazhuang2,UC,2021/10/31,14,22,0.261129978,0.672375258,0.025,0.066621134,-0.396938675,0.066621134
21,Shijiazhuang,UC,2021/1/2,29,87,0.923804176,0.319441408,1.968421053,0.348259154,-1.141181409,0.348259154
