,X,name,Groups,time,during_case,during_index,index_decrease,Strength_flu,Strength_covid,x,y
32,1,Dehong,OC,2022/2/16,52,76,0.502969601,0.896713939,4,-0.109018377,1.386294361
25,1,Jiaxing,OC,2022/3/5,56,#NAME?,0.862002751,0.867378785,11,-0.142279506,2.397895273
31,1,Dongguan,OC,2022/2/25,48,40,0.201042736,0.809180259,16.375,-0.211733569,2.795755782
23,1,Jinan,OC,2022/3/30,31,#NAME?,0.243736439,0.722126428,1.733333333,-0.325555047,0.550046337
11,1,Shanghai,OC,2022/3/2,58,#NAME?,0.946603466,0.713221118,3.950980392,-0.337963784,1.373963749
17,1,Ningbo,OC,2022/3/15,45,49,0.383536665,0.652545782,9,-0.426873978,2.197224577
9,1,Shenzhen,OC,2022/1/31,81,92,0.932437691,0.648127592,2.166666667,-0.433667701,0.773189888
10,1,Shenyang,OC,2022/3/6,50,#NAME?,0.866341049,0.568466232,27.6,-0.564813366,3.317815773
8,1,Siping,OC,2022/3/5,44,#NAME?,0.90595262,0.398136568,65,-0.920960196,4.17438727
2,1,Zhoukou,OC,2022/3/22,34,42,0.746584195,0.347757082,2.172413793,-1.056251082,0.775838896
6,1,Suzhou 2,OC,2022/3/13,47,#NAME?,0.83221365,0.31471897,4.625,-1.156075198,1.531476371
35,1,Changchun,OC,2022/3/5,55,#NAME?,0.967301117,0.294149785,14.51515152,-1.223666167,2.675193036
24,1,Jilin,OC,2022/3/3,58,#NAME?,0.896232519,0.164076919,8.608974359,-1.807419944,2.152805189
30,1,Fangchenggang,UC,2022/4/5,24,13,-0.114260558,1.437333658,1.307692308,0.362789771,0.268263987
14,1,Qingdao 2,UC,2022/4/10,14,11,-0.24620223,1.251513397,0.142857143,0.224353537,-1.945910149
28,1,Haerbing 2,UC,2022/4/13,17,9,-0.176865609,1.160905433,0.148648649,0.149200247,-1.90616982
5,1,Wuhan,UC,2022/4/3,14,29,0.191504143,1.134285131,0.666666667,0.126002612,-0.405465108
41,1,Anyang,UC,2022/4/9,20,8,-0.019499943,1.042642294,0.592592593,0.041758158,-0.523248144
40,1,Baicheng,UC,2022/3/29,31,29,-0.567115463,0.690466476,0.892857143,-0.370387857,-0.113328685
12,1,Quzhou,UC,2022/3/9,24,28,0.618160343,0.678541686,0.176470588,-0.387809364,-1.734601055
29,1,Haerbing,UC,2022/3/10,29,#NAME?,0.536062038,0.643157405,0.898550725,-0.441365787,-0.10697212
18,1,Nanjing,UC,2022/3/10,20,#NAME?,0.509258247,0.536096875,0.055555556,-0.623440397,-2.890371758
7,1,Suzhou,UC,2022/2/14,16,#NAME?,0.558250896,0.385714426,0.075471698,-0.952658012,-2.583997552
4,1,Xian,UC,2022/3/7,45,30,0.655409914,0.380956749,0.111111111,-0.96506943,-2.197224577
15,1,Qingdao,UC,2022/3/4,25,60,0.661307273,0.37223111,0.056542811,-0.988240355,-2.872757211
16,1,Putian,UC,2022/3/17,16,39,0.642921564,0.344830635,0.058823529,-1.064701895,-2.833213344
21,1,Lanzhou,UC,2022/3/6,30,58,0.631289108,0.287612621,0.978021978,-1.246140772,-0.022223137
37,1,Bingzhou,UC,2022/3/11,22,#NAME?,0.840628849,0.281826434,0.827225131,-1.266463878,-0.189678395
1,1,Zibo,UC,2022/3/8,50,#NAME?,0.794095661,0.280817473,0.105263158,-1.270050384,-2.251291799
36,1,Cangzhou,UC,2022/3/8,38,#NAME?,0.877676351,0.272467959,0.029850746,-1.300234255,-3.511545439
33,1,Dalian,UC,2022/3/14,19,50,0.484065432,0.267131108,0.04,-1.320015701,-3.218875825
20,1,Lianyungang,UC,2022/3/5,21,#NAME?,0.776038417,0.235163201,0.034482759,-1.447475532,-3.36729583
27,1,Huhehaote,UC,2022/2/15,44,#NAME?,0.698912227,0.230830705,0.198198198,-1.466070714,-1.618487748
34,1,Changzhou 2,UC,2022/3/13,15,#NAME?,0.881812633,0.221188104,0.016393443,-1.508741789,-4.110873864
38,1,Baoji,UC,2022/3/8,28,56,0.772780372,0.208390736,0.042735043,-1.568340425,-3.152736022
19,1,Nanchang,UC,2022/3/16,45,#NAME?,0.83788597,0.197150763,0.496240602,-1.623786548,-0.700694386
13,1,Quanzhou,UC,2022/3/13,33,51,0.803659958,0.195437949,0.572039943,-1.632512345,-0.55854646
22,1,Langfang,UC,2022/3/9,23,#NAME?,0.921721337,0.189903004,0.897689769,-1.661241845,-0.107930739
26,1,Huludao,UC,2022/2/8,21,#NAME?,0.848641161,0.145377103,0.603448276,-1.9284242,-0.505094949
3,1,Yingkou,UC,2022/3/13,26,#NAME?,0.878389997,0.137086557,0.606299213,-1.98714275,-0.500381665
39,1,Baise,UC,2022/2/5,11,#NAME?,0.848436555,0.128259371,0.001,-2.053700729,-6.907755279
