,name,time,Groups,during_case,during_index,index_decrease,Strength_flu,Strength_covid,Rt_rate,x,y
4,Dehong3,2022/2/16,OC,52,76,0.502969601,0.896713939,4,1.554131563,-0.109018377,1.554131563
16,Jinan,2022/3/30,OC,31,#NAME?,0.243736439,0.722126428,1.733333333,1.002598745,-0.325555047,1.002598745
23,Hangzhou2,2022/3/9,OC,52,#NAME?,0.379237642,0.720892573,0.25,1.381386171,-0.327265149,1.381386171
30,Shanghai,2022/3/2,OC,58,#NAME?,0.946603466,0.713221118,3.950980392,2.071118054,-0.337963784,2.071118054
22,Ningbo2,2022/3/15,OC,45,49,0.383536665,0.652545782,9,1.487607619,-0.426873978,1.487607619
8,Shenzhen,2022/1/31,OC,81,92,0.932437691,0.648127592,2.166666667,1.627815402,-0.433667701,1.627815402
11,Zhengzhou3,2022/3/22,OC,38,41,0.297822673,0.623579049,0.001,1.516301531,-0.472279739,1.516301531
41,Shenyang,2022/3/6,OC,50,#NAME?,0.866341049,0.568466232,27.6,1.274481721,-0.564813366,1.274481721
33,Haerbing2,2022/3/1,OC,38,#NAME?,0.827282916,0.392244454,Inf,1.359566528,-0.935870027,1.359566528
26,Suzhou2,2022/3/13,OC,47,#NAME?,0.83221365,0.31471897,4.625,1.339964729,-1.156075198,1.339964729
37,Changchun,2022/3/5,OC,55,#NAME?,0.967301117,0.294149785,14.51515152,1.361229356,-1.223666167,1.361229356
36,Jilin,2022/3/3,OC,58,#NAME?,0.896232519,0.164076919,8.608974359,1.01586606,-1.807419944,1.01586606
6,Fangchenggang,2022/4/5,UC,24,13,-0.114260558,1.437333658,1.307692308,0.109252652,0.362789771,0.109252652
32,Haerbing3,2022/4/13,UC,17,9,-0.176865609,1.160905433,0.148648649,0.164451107,0.149200247,0.164451107
9,Wuhan,2022/4/3,UC,14,29,0.191504143,1.134285131,0.666666667,1.42989184,0.126002612,1.42989184
21,Jiaxing,2022/3/5,UC,56,#NAME?,0.862002751,0.867378785,11,0.993658674,-0.142279506,0.993658674
7,Dongguan,2022/2/25,UC,48,40,0.201042736,0.809180259,16.375,0.632293485,-0.211733569,0.632293485
34,Baicheng,2022/3/29,UC,31,29,-0.567115463,0.690466476,0.892857143,0.741356072,-0.370387857,0.741356072
20,Quzhou,2022/3/9,UC,24,28,0.618160343,0.678541686,0.176470588,0.15164507,-0.387809364,0.15164507
29,Nanjing2,2022/3/10,UC,20,#NAME?,0.509258247,0.536096875,0.055555556,0.213255276,-0.623440397,0.213255276
35,Siping,2022/3/5,UC,44,#NAME?,0.90595262,0.398136568,65,0.691452115,-0.920960196,0.691452115
27,Suzhou,2022/2/14,UC,16,#NAME?,0.558250896,0.385714426,0.075471698,0.027450759,-0.952658012,0.027450759
3,Xian2,2022/3/7,UC,45,30,0.655409914,0.380956749,0.111111111,0.341514171,-0.96506943,0.341514171
15,Qingdao,2022/3/4,UC,25,60,0.661307273,0.37223111,0.056542811,0.188140211,-0.988240355,0.188140211
24,Hangzhou,2022/1/26,UC,8,27,0.494080493,0.363425929,0.001,0.117283807,-1.012179775,0.117283807
13,Dezhou,2022/3/10,UC,23,#NAME?,0.563858263,0.35856313,0.001,0.375131627,-1.025650541,0.375131627
10,Zhoukou,2022/3/22,UC,34,42,0.746584195,0.347757082,2.172413793,0.408240701,-1.056251082,0.408240701
19,Putian2,2022/3/17,UC,16,39,0.642921564,0.344830635,0.058823529,0.039953024,-1.064701895,0.039953024
31,Jiamusi,2022/3/27,UC,12,36,0.521909607,0.334144647,0.001,0.041577813,-1.096181305,0.041577813
1,Lanzhou,2022/3/6,UC,30,58,0.631289108,0.287612621,0.978021978,0.601666219,-1.246140772,0.601666219
12,Bingzhou,2022/3/11,UC,22,#NAME?,0.840628849,0.281826434,0.827225131,0.067919854,-1.266463878,0.067919854
14,Zibo,2022/3/8,UC,50,#NAME?,0.794095661,0.280817473,0.105263158,0.192844063,-1.270050384,0.192844063
44,Cangzhou,2022/3/8,UC,38,#NAME?,0.877676351,0.272467959,0.029850746,0.154591128,-1.300234255,0.154591128
40,Dalian2,2022/3/14,UC,19,50,0.484065432,0.267131108,0.04,0.049180917,-1.320015701,0.049180917
25,Lianyungang,2022/3/5,UC,21,#NAME?,0.776038417,0.235163201,0.034482759,0.044711699,-1.447475532,0.044711699
42,Huhehaote,2022/2/15,UC,44,#NAME?,0.698912227,0.230830705,0.198198198,0.330362937,-1.466070714,0.330362937
28,Changzhou,2022/3/13,UC,15,#NAME?,0.881812633,0.221188104,0.016393443,0.037048735,-1.508741789,0.037048735
2,Baoji,2022/3/8,UC,28,56,0.772780372,0.208390736,0.042735043,0.189352529,-1.568340425,0.189352529
17,Nanchang,2022/3/16,UC,45,#NAME?,0.83788597,0.197150763,0.496240602,0.87777112,-1.623786548,0.87777112
18,Quanzhou,2022/3/13,UC,33,51,0.803659958,0.195437949,0.572039943,0.393018575,-1.632512345,0.393018575
43,Langfang,2022/3/9,UC,23,#NAME?,0.921721337,0.189903004,0.897689769,0.143352364,-1.661241845,0.143352364
38,Huludao,2022/2/8,UC,21,#NAME?,0.848641161,0.145377103,0.603448276,0.2075772,-1.9284242,0.2075772
39,Yingkou,2022/3/13,UC,26,#NAME?,0.878389997,0.137086557,0.606299213,0.196147999,-1.98714275,0.196147999
5,Baise,2022/2/5,UC,11,#NAME?,0.848436555,0.128259371,0.001,0.006415648,-2.053700729,0.006415648
